"output_freq","GPS_reference","N31","N2_HS","N2_LS","N1_HS","NC1_LS","BW"
522,131072,1,11,4176,11,1048576,9
523,133888,1,11,4096,11,1048576,9
524,134144,1,11,4096,11,1048576,9
525,179200,1,11,3072,11,1048576,9
526,134656,1,11,4096,11,1048576,9
527,139264,1,11,3968,11,1048576,9
528,180224,1,11,3072,11,1048576,9
529,188416,1,11,2944,11,1048576,9
530,163840,1,11,3392,11,1048576,9
531,131072,1,11,4248,11,1048576,9
532,155648,1,11,3584,11,1048576,9
533,167936,1,11,3328,11,1048576,9
534,182272,1,11,3072,11,1048576,9
535,163840,1,11,3424,11,1048576,9
536,137216,1,11,4096,11,1048576,9
537,183296,1,11,3072,11,1048576,9
538,137728,1,11,4096,11,1048576,9
539,180224,1,11,3136,11,1048576,9
540,163840,1,11,3456,11,1048576,9
541,138496,1,11,4096,11,1048576,9
542,138752,1,11,4096,11,1048576,9
543,185344,1,11,3072,11,1048576,9
544,139264,1,11,4096,11,1048576,9
545,163840,1,11,3488,11,1048576,9
546,186368,1,11,3072,11,1048576,9
547,140032,1,11,4096,11,1048576,9
548,140288,1,11,4096,11,1048576,9
549,131072,1,11,4392,11,1048576,9
550,180224,1,11,3200,11,1048576,9
551,155648,1,11,3712,11,1048576,9
552,188416,1,11,3072,11,1048576,9
553,161792,1,11,3584,11,1048576,9
554,141824,1,11,4096,11,1048576,9
555,189440,1,11,3072,11,1048576,9
556,142336,1,11,4096,11,1048576,9
557,142592,1,11,4096,11,1048576,9
558,131072,1,11,4464,11,1048576,9
559,176128,1,11,3328,11,1048576,9
560,163840,1,11,3584,11,1048576,9
561,191488,1,11,3072,11,1048576,9
562,143872,1,11,4096,11,1048576,9
563,144128,1,11,4096,11,1048576,9
564,135586,1,10,4794,11,1047710,9
565,186760,1,11,3164,11,1045856,9
566,149144,1,11,3962,11,1044008,9
567,89613,1,11,6594,11,1042166,9
568,122392,1,11,4828,11,1040332,9
569,173084,1,11,3414,11,1038504,9
570,185820,1,11,3180,11,1036680,9
571,110203,1,11,5362,11,1034866,9
572,197496,1,11,2992,11,1033056,9
573,159103,1,11,3714,11,1031254,9
574,189637,1,11,3116,11,1029458,9
575,84295,1,11,7010,11,1027666,9
576,197496,1,11,2992,11,1025882,9
577,170684,1,11,3462,11,1024104,9
578,170389,1,11,3468,11,1022334,9
579,192228,1,11,3074,11,1020568,9
580,186760,1,11,3164,11,1018808,9
581,169509,1,11,3486,11,1017054,9
582,132017,1,11,4476,11,1015306,9
583,121187,1,11,4876,11,1013564,9
584,101183,1,11,5840,11,1011830,9
585,194250,1,11,3042,11,1010100,9
586,126047,1,11,4688,11,1008376,9
587,34633,1,11,17062,11,1006658,9
588,167491,1,11,3528,11,1004946,9
589,136154,1,11,4340,11,1003240,9
590,100154,1,11,5900,11,1001540,9
591,166641,1,11,3546,11,999846,9
592,178414,1,11,3312,11,998154,9
593,166079,1,11,3558,11,996474,9
594,183678,1,9,3932,11,994796,9
595,157997,1,11,3740,11,993124,9
596,199362,1,11,2964,11,991458,9
597,164966,1,11,3582,11,989796,9
598,58126,1,11,10166,11,988142,9
599,186289,1,11,3172,11,986492,9
600,184659,1,11,3200,11,984848,9
601,170684,1,11,3462,11,983208,9
602,190862,1,11,3096,11,981576,9
603,129699,1,11,4556,11,979948,9
604,98452,1,11,6002,11,978326,9
605,167871,1,11,3520,11,976704,9
606,188668,1,11,3132,11,975096,9
607,97349,1,11,6070,11,973490,9
608,169024,1,11,3496,11,971888,9
609,176813,1,11,3342,11,970294,9
610,138386,1,11,4270,11,968702,9
611,161186,1,11,3666,11,967116,9
612,197496,1,11,2992,11,965536,9
613,50879,1,11,11614,11,963962,9
614,120299,1,11,4912,11,962392,9
615,98715,1,11,5986,11,960826,9
616,159878,1,8,5082,11,959268,9
617,115379,1,8,7042,11,957712,9
618,126587,1,11,4668,11,956162,9
619,159103,1,11,3714,11,954618,9
620,136154,1,11,4340,11,953078,9
621,194634,1,11,3036,11,951544,9
622,186289,1,11,3172,11,950014,9
623,199093,1,11,2968,11,948488,9
624,197496,1,11,2992,11,946968,9
625,98125,1,11,6022,11,945454,9
626,157324,1,11,3756,11,943944,9
627,157073,1,9,4598,11,942438,9
628,156823,1,11,3768,11,940938,9
629,67103,1,11,8806,11,939442,9
630,194250,1,11,3042,11,937950,9
631,135034,1,11,4376,11,936464,9
632,186996,1,11,3160,11,934980,9
633,197496,1,11,2992,11,933504,9
634,116504,1,11,5072,11,932032,9
635,77547,1,10,8382,11,930564,9
636,158909,1,11,3712,11,928,9
637,154607,1,11,3822,11,927642,9
638,190124,1,11,3108,11,926184,9
639,138711,1,11,4260,11,924740,9
640,193360,1,11,3056,11,923294,9
641,72433,1,11,8158,11,921854,9
642,183398,1,11,3222,11,920418,9
643,115097,1,11,5134,11,918986,9
644,186760,1,11,3164,11,917560,9
645,197628,1,11,2990,11,916136,9
646,199766,1,11,2958,11,914718,9
647,121636,1,11,4858,11,913304,9
648,198558,1,11,2976,11,911896,9
